name,site,phone,email,director,region,industry,profit_mln,опросник,контакт,заметка
"ХАКЕЛЬ, АО",www.hakel.ru,"+7 (495) 9840066
+7 (812) 4493467
+7 (812) 2074705
+7 (800) 3332829","info@hakel.ru, info@k2el.ru",Вдов Виктор Петрович,Ленинградская область,Производство электрической распреде,299,ДА,"info@k2el.ru, 8-800-333-28-29",ХАКЕЛЬ → k2el.ru
"ЗНИГО, ООО",znigo.ru,"+7 (47354) 61433
+7 (47354) 66116
+7 (47354) 66326
+7 (47354) 67874
+7 (47354) 68172
+7 (47354) 68758
+7 (47376) 41433
+7 (84732) 66326",glavbuh@znigo.ru,Филатов Андрей Анатольевич,Воронежская область,Производство теплообменных устройст,47,ДА,znigo@znigo.ru,нефтегаз. оборудование
"ГАЗАППАРАТ, АО",https://gazapparat.ru,"+7 (8452) 393131
+7 (413) 2222600
+7 (812) 5679886
+7 (8452) 444111
+7 (8452) 502496
+7 (8452) 507942
+7 (8452) 517626
+7 (8452) 517633
+7 (8452) 517639","gazapparat2@renet.ru, poliakw@mail.ru",Филиппов Владислав Андреевич,Саратовская область,Производство арматуры трубопроводно,32,ДА,тел +7(8452)444-111,газовая арматура
"ГЛАЗОВСКИЙ ЗАВОД МЕТАЛЛИСТ, АО",www.оао-металлист.рф,"+7 (34141) 37715
+7 (34141) 37800
+7 (34141) 37919
+7 (34141) 38050
+7 (34141) 38072
+7 (34141) 38131
+7 (34141) 38141
+7 (34141) 38200
+7 (34141) 38344
+7 (34141) 51066
+7 (34141) 57880
+7 (34141) 57895
+7 (34141) 66052
+7 (34141) 73810",urist1@glazovmebel.ru,"ГЛАЗОВСКИЕ ЗАВОДЫ, ООО",Удмуртская Республика,Производство промышленного холодиль,215,?,реестр: urist1@glazovmebel.ru,не проверял
"ЭКРОСХИМ, ООО",labfurniture.ru,"+7 (812) 4487609
+7 (812) 4490403
+7 (812) 4887611
+7 (3422) 940553
+7 (495) 3630061
+7 (812) 3229898
+7 (812) 3329600
+7 (812) 4487016
+7 (812) 4487601
+7 (812) 4487612
+7 (812) 4487614
+7 (812) 4490434
+7 (812) 4493122
+7 (812) 4493123","andrianova@ecohim.ru, brui@ecohim.ru, efremova@ecohim.ru, lubnin@ecohim.ru",Арапов Виталий Олегович,Санкт-Петербург,"Производство навигационных, метеоро",148,?,"реестр: andrianova@ecohim.ru, brui@ecohim.ru, efremova@ecohim.ru, lubnin@ecohim.ru",не проверял
"МЭК, ООО",www.mec26.ru,"+7 (918) 7431303
+7 (865) 2693334
+7 (8652) 315606
+7 (8652) 315646
+7 (8652) 363095
+7 (8652) 566003
+7 (8652) 947477
+7 (86553) 62096","kling_1976@mail.ru, mec_26@mail.ru",Шульга Юрий Анатольевич,Ставропольский край,Производство электрической распреде,134,?,"реестр: kling_1976@mail.ru, mec_26@mail.ru",не проверял
"КМПУ №7, ООО",https://kalorifer.net/about,+7 (494) 2419107,,Брюханов Иван Вадимович,Москва,Производство вентиляторов,109,?,реестр: +7 (494) 2419107,не проверял
"ЭНЕРГОМАШ, ОАО",www.energomach.com,"+7 (921) 2015922
+7 (964) 6944372
+7 (495) 7377868
+7 (81665) 49235
+7 (81665) 49249
+7 (81665) 49252
+7 (81665) 49300
+7 (81665) 49320
+7 (81665) 49340","cherkesov@energomach.com, info@energomach.com, ivanova-sa@energomach.com",Васильев Вячеслав Николаевич,Новгородская область,Производство прочих насосов и компр,86,?,"реестр: cherkesov@energomach.com, info@energomach.com, ivanova-sa@energomach.com",не проверял
"МЕТАБ, ЗАО МЗ",metab.ru,"+7 (950) 7345221
+7 (351) 2357395
+7 (3517) 919463",gmp60@mail.ru,Пястолов Геннадий Михайлович,Челябинская область,Производство прочих насосов и компр,86,?,реестр: gmp60@mail.ru,не проверял
"ГАЛЛОП, ООО",www.gallop.ru,"+7 (383) 2899005
+7 (383) 3172943
+7 (383) 3173625
+7 (383) 3174654
+7 (383) 3472943
+7 (383) 3551000","gallop@online.nsk.su, op@gallop.ru, td@gallop.ru, vab@gallop.ru",Захаров Виталий Владимирович,Новосибирская область,Производство арматуры трубопроводно,83,?,"реестр: gallop@online.nsk.su, op@gallop.ru, td@gallop.ru, vab@gallop.ru",не проверял
