name,site,phone,email,director,region,industry,profit_mln
"КМЗ, АО",www.kmz-ural.com,"+7 (3432) 785282
+7 (922) 1516677
+7 (343) 2280314
+7 (343) 2280315
+7 (3432) 280317
+7 (3432) 689857
+7 (34363) 57099
+7 (34363) 57100",glavbuh@kmz-ural.com,Кащеев Максим Петрович,Свердловская область,Производство вентиляторов,448
"ЗАВОД СЕВЕР, ООО",veza-ural.ru,"+7 (3422) 350276
+7 (3422) 350377
+7 (343) 3762735
+7 (343) 3762745
+7 (343) 3762859
+7 (345) 2250295
+7 (345) 2546920
+7 (345) 2546921
+7 (3512) 475272
+7 (3512) 475273
+7 (916) 1951554",info@z-sever.ru,Юров Игорь Юрьевич,Москва,Производство вентиляторов,419
"РИМ, АО",zao-rim.ru,"+7 (383) 2034109
+7 (383) 2195313
+7 (383) 2267752
+7 (383) 2268313
+7 (383) 2351562
+7 (383) 2362481
+7 (383) 2363703
+7 (383) 2364409","info@atev.kz, info@zao-rim.ru, ivanova@zao-rim.ru, office@rimtd.com, rim@zao-rim.ru, service@zao-rim.ru, support@zao-rim.ru",Букреев Евгений Валерьевич,Новосибирская область,"Производство прочих приборов, датчи",366
"ИК ЭНЕРПРЕД-ЯРДОС, ООО",www.yardos.ru,"+7 (495) 6498611
+7 (499) 9729218
+7 (495) 2282493
+7 (495) 6393426
+7 (495) 7424491
+7 (495) 9692493",,Шаманский Владимир Семенович,Московская область,Производство арматуры трубопроводно,330
"АЛСО, ООО",alsoarm.ru,"+7 (3512) 100210
+7 (3517) 715511",,Рысенко Денис Игоревич,Челябинская область,Производство арматуры трубопроводно,312
"ЗЭТА, АО",nzeta.ru,"+7 (495) 6662338
+7 (800) 7773421","info@nzeta.ru, info@nzeta.zkabel.ru, nzeta@nzeta.ru",Рязанов Андрей Анатольевич,Новосибирская область,Производство электрической распреде,306
"ХАКЕЛЬ, АО",www.hakel.ru,"+7 (495) 9840066
+7 (812) 4493467
+7 (812) 2074705
+7 (800) 3332829","info@hakel.ru, info@k2el.ru",Вдов Виктор Петрович,Ленинградская область,Производство электрической распреде,299
"ЛМЗ, ОАО",www.semlmz.ru,"+7 (83162) 41090
+7 (83162) 51090
+7 (83162) 51173
+7 (83162) 52068
+7 (83162) 52191
+7 (83162) 52321
+7 (83162) 53670
+7 (83162) 57090
+7 (83162) 57390
+7 (83162) 57499
+7 (905) 1910035
+7 (950) 6268818","semlmz@rambler.ru, slmz_kamaeva.n@mail.ru, www.zavodlmz.narod.ru/",Седунов Валерий Константинович,Нижегородская область,Производство арматуры трубопроводно,299
"МИКРОПРОЦЕССОРНЫЕ ТЕХНОЛОГИИ, ООО НПП",http://www.i-mt.net,"+7 (921) 8800684
+7 (913) 9064222",poletaevatn@i-mt.net,Пирогов Михаил Геннадьевич,Новосибирская область,Производство электрической распреде,270
"ЧЗЭО, ООО",www.chelzeo.ru,"+7 (3432) 930045
+7 (3432) 930046
+7 (345) 2500260
+7 (3512) 399031
+7 (3512) 461518
+7 (3512) 461519
+7 (3512) 476594
+7 (3512) 777467
+7 (3517) 773464
+7 (800) 3013727
+7 (812) 5785095
+7 (8432) 385987
+7 (8432) 470020
+7 (861) 2752939
+7 (861) 9442542",tender@chelzeo.ru,Камынин Алексей Игоревич,Москва,Производство электрической распреде,225
